staff_id,assignment_number,departure_date,return_date,assignment_country,pool,job_title,age_bracket,sex,first_departure
1387,1,1999-05-20,1999-09-30,MG,NA,NA,45,M,"First departure, relevant experience"
1387,2,1999-11-30,1999-12-10,RU,NA,NA,55,M,Not first departure
1524,1,1998-02-28,1998-04-30,CN,NON MEDICAL,NA,35,M,Not first departure
1524,2,1999-07-30,2000-09-07,BR,NON MEDICAL,A REFACTURER,35,M,Not first departure
1524,3,2000-09-08,2001-09-30,CO,NON MEDICAL,A REFACTURER,35,M,Not first departure
1529,1,1996-05-09,1996-12-20,ML,NON MEDICAL,NA,35,M,Not first departure
1529,2,1997-01-22,1997-11-15,PE,NA,NA,35,M,Not first departure
1529,3,2008-04-24,2008-07-10,SS,NON MEDICAL,LOG CO,45,M,Not first departure
1535,1,1998-11-12,2000-02-26,AM,NON MEDICAL,A REFACTURER,35,M,Not first departure
1571,1,2005-08-01,2005-10-30,NG,NON MEDICAL,RECRUTEUR,45,F,First departure
1571,2,2006-02-20,2006-10-10,SS,NON MEDICAL,RRH,45,F,Not first departure
1571,3,2009-05-15,2009-09-17,LK,NON MEDICAL,RECRUITMENT,45,F,Not first departure
1571,4,2011-06-09,2011-09-05,HT,NON MEDICAL,ADMIN CHOLERA 2,55,F,Not first departure
1571,5,2013-07-26,2014-01-27,IR,NON MEDICAL,COORDO FIN RH,55,F,Not first departure
1571,6,2015-06-09,2015-10-08,CD,NON MEDICAL,SUPP. KAMANGO ADJ COORDO,55,F,Not first departure
1571,7,2015-11-25,2016-10-26,CD,NON MEDICAL,SUPP. KAMANGO ADJ COORDO,55,F,Not first departure
1571,8,2016-12-08,2018-01-15,CD,NON MEDICAL,SUPP. KAMANGO ADJ COORDO,55,F,Not first departure
1571,9,2018-04-23,2019-10-23,FR1,NON MEDICAL,COFIRH,55,F,Not first departure
1577,1,1996-07-01,1997-03-15,PI,NON MEDICAL,NA,35,F,Not first departure
1577,2,1997-05-26,1997-08-06,EG,NA,NA,35,F,Not first departure
1577,3,2001-05-02,2001-07-31,FR1,NA,NA,45,F,Not first departure
1577,4,2001-09-03,2003-05-31,FR1,NA,NA,45,F,Not first departure
1580,1,1999-02-03,1999-07-14,CN,NA,A REFACTURER,35,M,Not first departure
1698,1,1998-02-14,1998-07-21,AM,NA,NA,35,M,First departure
1720,1,2000-01-01,2000-03-11,KP,NON MEDICAL,NA,55,M,First departure
1721,1,2007-03-01,2009-07-10,FR1,NON MEDICAL,ADMIN ASSISTANTE,45,F,First departure
1721,2,2009-07-11,2013-05-31,FR1,NON MEDICAL,ADMIN ASSISTANTE,45,F,Not first departure
1727,1,2001-12-27,2002-11-30,ID,NON MEDICAL,ADMINISTRATEUR,45,F,First departure
1727,2,2002-12-01,2004-01-31,ID,NON MEDICAL,CHEF DE MISSION,45,F,Not first departure
1727,3,2004-12-30,2005-09-07,ID,NON MEDICAL,ADMI RRH,45,F,Not first departure
1728,1,2018-10-15,2019-02-04,CD,NON MEDICAL,ADMIN TRANSIT,55,F,"First departure, relevant experience"
1737,1,1997-10-12,1998-08-11,ML,MEDCO,NA,65,F,Not first departure
1800,1,1997-01-30,1997-12-07,AM,NON MEDICAL,NA,55,F,First departure
1808,1,1996-10-27,1997-01-24,HT,NON MEDICAL,NA,35,F,"First departure, relevant experience"
1808,2,1997-02-28,1997-06-28,MZ,NON MEDICAL,NA,35,F,Not first departure
1808,3,1997-11-17,1999-11-30,BE,NON MEDICAL,NA,35,F,Not first departure
1808,4,1999-12-13,2000-08-01,BR,NON MEDICAL,A REFACTURER,35,F,Not first departure
1829,1,2005-02-14,2005-03-10,TD,GAS,ANESTH,55,F,First departure
1829,2,2006-06-08,2006-06-27,CD,GAS,ANESTH,55,F,Not first departure
1868,1,1996-11-15,1996-11-30,RW,NA,NA,35,M,First departure
1868,2,2002-09-01,2004-01-01,ET,NON MEDICAL,NA,35,M,Not first departure
1868,3,2004-09-27,2005-01-15,SS,NON MEDICAL,NA,35,M,Not first departure
1868,4,2005-01-16,2005-02-28,CN,NON MEDICAL,APPUI RH NAT,35,M,Not first departure
1868,5,2005-03-01,2005-05-08,CI,NON MEDICAL,CHARGE MISSION STAFF NAT,35,M,Not first departure
1868,6,2006-08-21,2008-03-31,CN,NON MEDICAL,CHEF DE MISSION,35,M,Not first departure
1871,1,1998-07-01,1999-07-06,MW,NON MEDICAL,NA,35,F,First departure
1871,2,1999-10-13,1999-12-05,SD,NON MEDICAL,NA,35,F,Not first departure
1871,3,2000-01-11,2001-12-10,FR1,NON MEDICAL,NA,35,F,Not first departure
1938,1,1996-05-01,1996-10-30,AO,NA,NA,35,F,First departure
1966,1,1996-06-15,1997-01-13,BI,NA,NA,35,F,"First departure, relevant experience"
1966,2,1997-03-19,1997-09-20,CI,NA,NA,35,F,Not first departure
1966,3,1999-02-10,1999-02-10,AO,NA,NA,35,F,Not first departure
1966,4,1999-03-17,2000-06-12,AO,NA,NA,35,F,Not first departure
1966,5,2000-06-13,2000-08-13,ME,NA,NA,35,F,Not first departure
1985,1,1997-01-21,1997-05-05,MR,PROJECT COORDINATOR,NA,35,F,Not first departure
2016,1,1996-04-05,1996-04-30,LK,NA,NA,45,M,First departure
2060,1,1996-01-29,1996-07-12,RU,NA,NA,35,F,First departure
2114,1,2007-02-01,2009-06-23,KE,NON MEDICAL,NA,45,M,Not first departure
2114,2,2009-08-11,2010-07-06,TH,NON MEDICAL,NA,45,M,Not first departure
2117,1,2012-10-01,2013-06-28,FR1,OTHER,REF MED ET PSY,55,F,"First departure, relevant experience"
2202,1,2000-04-14,2000-07-25,LK,NA,NA,45,F,"First departure, relevant experience"
2218,1,1997-04-14,1997-12-20,KG,NURSE,NA,35,F,"First departure, relevant experience"
2218,2,1998-03-02,1998-06-05,KE,NA,NA,35,F,Not first departure
2218,3,1999-04-06,1999-05-16,YU,NA,NA,35,F,Not first departure
2218,4,1999-06-14,1999-08-02,YU,NA,NA,35,F,Not first departure
2218,5,1999-11-08,2000-03-03,SL,PROJECT COORDINATOR,NA,35,F,Not first departure
2218,6,2000-04-10,2000-06-30,UG,PROJECT COORDINATOR,NA,35,F,Not first departure
2218,7,2000-10-04,2001-03-12,YU,NON MEDICAL,NA,35,F,Not first departure
2218,8,2001-05-02,2002-02-20,LR,NON MEDICAL,CHEF DE MISSION,35,F,Not first departure
2218,9,2002-05-02,2002-08-28,AO,NON MEDICAL,COORDO URGENCE 2,35,F,Not first departure
2218,10,2002-08-29,2002-11-17,GN,MEDCO,COMED,35,F,Not first departure
2218,11,2002-11-18,2003-12-23,CD,PROJECT COORDINATOR,EXPLO GRIPPE,35,F,Not first departure
2220,1,1996-01-16,1996-07-13,AO,NA,NA,35,F,First departure
2220,2,1998-01-27,1998-07-15,LK,NA,NA,45,F,Not first departure
2222,1,1997-07-01,1998-01-30,LK,NA,NA,35,F,First departure
2222,2,1998-05-19,1999-04-03,KH,NA,NA,35,F,Not first departure
2223,1,1997-03-19,1997-04-17,BI,GAS,NA,55,M,"First departure, relevant experience"
2223,2,1998-04-29,1998-05-27,LK,GAS,NA,55,M,Not first departure
2223,3,2000-06-19,2000-07-03,ER,GAS,NA,55,M,Not first departure
2223,4,2001-03-22,2001-05-11,SL,GAS,NA,55,M,Not first departure
2223,5,2002-01-21,2002-04-19,BI,GAS,INF ANES,55,M,Not first departure
2223,6,2002-08-20,2002-10-15,BI,GAS,INF ANES,55,M,Not first departure
2223,7,2002-12-23,2003-01-13,CI,GAS,ANESTH,55,M,Not first departure
2223,8,2003-09-24,2003-11-07,GN,GAS,ANESTH,55,M,Not first departure
2223,9,2004-05-17,2004-07-22,GN,GAS,ANESTH,55,M,Not first departure
2223,10,2004-12-17,2005-02-21,GN,GAS,ANESTH,55,M,Not first departure
2223,11,2005-06-16,2005-07-21,CD,GAS,ANESTH,65,M,Not first departure
2223,12,2005-12-15,2006-02-06,CD,GAS,ANESTH,65,M,Not first departure
2223,13,2006-05-15,2006-06-05,CD,GAS,ANESTH,65,M,Not first departure
2223,14,2006-12-27,2007-02-20,TD,GAS,ANESTH,65,M,Not first departure
2223,15,2007-05-18,2007-06-22,TD,GAS,ANESTH,65,M,Not first departure
2223,16,2008-01-21,2008-02-04,TD,GAS,ANESTH,65,M,Not first departure
2223,17,2008-02-05,2008-02-24,TD,GAS,ANESTH 2,65,M,Not first departure
2223,18,2008-02-25,2008-03-15,TD,GAS,ANESTH,65,M,Not first departure
2223,19,2008-12-21,2009-02-18,CF,GAS,INF ANESTH 07 NOV,65,M,Not first departure
2223,20,2009-06-16,2009-07-16,NG,GAS,INF ANESTH,65,M,Not first departure
2223,21,2009-12-26,2010-01-20,NG,GAS,ANESTH,65,M,Not first departure
2223,22,2010-01-21,2010-02-23,CG,GAS,INF ANESTH,65,M,Not first departure
2223,23,2010-06-17,2010-07-17,HT,GAS,INF ANESTH,65,M,Not first departure
2223,24,2010-12-25,2011-01-16,CG,GAS,INF ANESTH,65,M,Not first departure
2223,25,2011-01-17,2011-02-17,CF,GAS,INF ANESTH 07 NOV,65,M,Not first departure
2223,26,2011-05-24,2011-06-28,CD,GAS,INF ANES,65,M,Not first departure
2223,27,2011-06-29,2011-08-08,NG,GAS,ANESTH,65,M,Not first departure
2223,28,2012-02-21,2012-03-31,NG,GAS,ANESTH TEMPORARY,65,M,Not first departure
2223,29,2012-07-20,2012-08-10,SY,GAS,ANESTH,65,M,Not first departure
2223,30,2012-09-16,2012-11-20,NG,GAS,ANESTH,65,M,Not first departure
2223,31,2013-04-23,2013-05-16,CF,GAS,INF ANESTH 25/03,65,M,Not first departure
2223,32,2013-05-17,2013-07-05,CF,GAS,INF ANEST,65,M,Not first departure
2223,33,2013-08-29,2013-10-04,CD,GAS,INFIRMER ANESTHESSITE REMPLA,65,M,Not first departure
2223,34,2013-12-10,2014-01-24,CF,GAS,ANESTESISTHE 2 URGENCE DECEMBRE,65,M,Not first departure
2223,35,2014-06-25,2014-07-29,CD,GAS,INFIRMER ANESTHESSITE REMPLA,65,M,Not first departure
2223,36,2014-08-14,2014-09-02,CI,GAS,MED ANESTH,65,M,Not first departure
2223,37,2014-12-07,2015-01-22,CI,GAS,MED ANESTH,65,M,Not first departure
2223,38,2015-03-20,2015-04-23,CF,GAS,INF ANESTH 20 MARS,65,M,Not first departure
2223,39,2015-06-05,2015-07-09,AF,GAS,ANESTH,65,M,Not first departure
2223,40,2016-01-25,2016-02-22,CF,GAS,ANESTESISTHE 2 URGENCE DECEMBRE,65,M,Not first departure
2223,41,2016-05-10,2016-06-11,AF,GAS,ANESTH,65,M,Not first departure
2223,42,2016-10-07,2016-11-11,AF,GAS,ANESTH SUPPORT,65,M,Not first departure
2223,43,2017-05-15,2017-06-19,AF,GAS,ANESTH,65,M,Not first departure
2223,44,2017-11-06,2017-12-04,CI,GAS,MED ANESTH,65,M,Not first departure
2223,45,2018-03-12,2018-04-10,AF,GAS,ANESTH,65,M,Not first departure
2223,46,2018-07-06,2018-08-01,PI,GAS,ANESTH NURSE SUPPORT,65,M,Not first departure
2223,47,2019-04-01,2019-04-20,CI,GAS,MED ANESTH,65,M,Not first departure
2231,1,1996-03-06,1996-04-05,LK,GAS,NA,35,F,Not first departure
2231,2,1997-01-17,1997-02-28,LK,GAS,NA,35,F,Not first departure
2231,3,2004-10-10,2004-11-28,TD,GAS,ANESTH,45,F,Not first departure
2231,4,2007-01-26,2007-02-27,CD,GAS,ANESTH,45,F,Not first departure
2231,5,2010-02-08,2010-03-05,NG,GAS,INF ANESTH,55,F,Not first departure
2233,1,1996-07-04,1997-02-21,AO,NA,NA,35,F,First departure
2233,2,1997-06-20,1997-08-26,ET,NA,NA,35,F,Not first departure
2241,1,1996-12-01,1997-07-20,NG,NA,NA,45,F,First departure
2243,1,1996-10-02,1997-05-02,AO,NURSE,NA,35,F,Not first departure
2243,2,1997-08-13,1997-12-20,LK,PROJECT COORDINATOR,NA,35,F,Not first departure
2243,3,1998-01-19,1998-05-14,GE,PROJECT COORDINATOR,NA,35,F,Not first departure
2243,4,1998-10-13,1998-11-24,AO,NURSE,NA,35,F,Not first departure
2243,5,1998-12-17,1999-05-09,BI,PROJECT COORDINATOR,NA,35,F,Not first departure
2243,6,1999-11-29,2000-01-26,KE,PROJECT COORDINATOR,NA,35,F,Not first departure
2243,7,2000-02-08,2000-04-27,MG,PROJECT COORDINATOR,NA,35,F,Not first departure
2243,8,2001-01-26,2001-06-11,CG,PROJECT COORDINATOR,NA,35,F,Not first departure
2243,9,2001-09-12,2001-12-17,CD,PROJECT COORDINATOR,NA,45,F,Not first departure
2243,10,2006-01-01,2006-05-02,NG,NURSE,INF SUPERV,45,F,Not first departure
2243,11,2009-01-01,2009-04-24,CD,NURSE,SUPERV CLI MOB,45,F,Not first departure
2243,12,2009-12-26,2010-04-27,CD,DEPUTY MEDCO,NA,45,F,Not first departure
2243,13,2012-09-03,2012-12-03,CD,NURSE,NA,55,F,Not first departure
2243,14,2013-03-10,2013-05-11,CD,NURSE,NA,55,F,Not first departure
2243,15,2015-12-27,2016-02-17,CF,NURSE,NA,55,F,Not first departure
2243,16,2016-02-18,2016-04-12,CF,MD,NA,55,F,Not first departure
2243,17,2016-05-16,2016-07-15,TD,NURSE,NA,55,F,Not first departure
2248,1,1997-05-13,1997-06-27,SO,NA,NA,35,M,First departure
2249,1,1998-09-13,1999-09-30,EG,NON MEDICAL,NA,45,F,First departure
2267,1,1996-02-27,1996-09-02,AO,NA,NA,35,F,First departure
2267,2,1999-03-05,1999-04-13,HN,NA,NA,35,F,Not first departure
2271,1,2005-01-27,2005-03-22,ID,PROJECT COORDINATOR,NA,45,M,Not first departure
2274,1,1996-01-15,1996-04-22,LR,NA,NA,25,F,First departure
2274,2,1996-06-09,1996-10-17,MR,NA,NA,35,F,Not first departure
2274,3,1997-04-17,1997-05-18,ML,NA,NA,35,F,Not first departure
2274,4,1997-06-20,1997-07-16,CD,NA,NA,35,F,Not first departure
2274,5,1997-08-18,1997-11-29,CG,PROJECT COORDINATOR,NA,35,F,Not first departure
2277,1,1996-02-02,1996-05-17,BI,NA,NA,35,M,Not first departure
2287,1,1996-05-01,1996-11-07,GE,MD,NA,35,M,First departure
2287,2,1996-12-02,1996-12-21,AM,MEDCO,NA,35,M,Not first departure
2287,3,1997-01-15,1997-11-26,KH,MEDCO,NA,35,M,Not first departure
2287,4,1998-10-05,1999-09-30,MG,MEDCO,NA,35,M,Not first departure
2287,5,1999-12-17,2000-01-30,KM,MEDCO,NA,45,M,Not first departure
2287,6,2000-01-31,2003-03-31,MG,MEDCO,COORDINATEUR MED,45,M,Not first departure
2287,7,2003-06-10,2004-06-16,GN,MEDCO,COMED,45,M,Not first departure
2306,1,2003-01-13,2004-11-18,IN,MEDCO,COMED,45,F,"First departure, relevant experience"
2309,1,1996-03-03,1996-04-09,NG,NA,NA,35,M,First departure
2312,1,1996-01-03,1996-07-31,LK,NA,NA,35,M,First departure
2312,2,1996-12-20,1997-05-10,BI,NA,NA,35,M,Not first departure
2313,1,1998-10-14,1999-03-05,GE,NA,NA,35,F,First departure
2321,1,1999-10-26,2000-06-16,SO,NON MEDICAL,A REFACTURER,35,M,Not first departure
2321,2,2000-07-19,2000-07-30,BF,NON MEDICAL,A REFACTURER,35,M,Not first departure
2321,3,2001-08-18,2003-10-20,RU,NON MEDICAL,NA,35,M,Not first departure
2325,1,1998-04-30,1998-06-08,BI,NA,NA,65,F,"First departure, relevant experience"
2330,1,1999-09-27,2000-07-20,YU,NA,NA,35,F,"First departure, relevant experience"
2337,1,2006-11-12,2006-12-29,LR,NA,CHIR 2,55,M,First departure
2339,1,2000-02-21,2001-03-29,PI,NON MEDICAL,COORDO/ADMI,45,M,Not first departure
2348,1,1996-08-14,1996-09-13,NG,NA,NA,35,F,First departure
2354,1,1997-03-11,1997-08-05,AO,NA,NA,65,F,First departure
2372,1,2001-03-11,2001-03-17,PI,NA,NA,45,M,First departure
2373,1,1996-01-25,1996-08-31,CI,NA,NA,35,F,First departure
2373,2,1997-01-14,1997-12-05,AO,NA,NA,35,F,Not first departure
2380,1,2000-10-04,2000-10-29,SS,NA,NA,55,M,First departure
2380,2,2000-10-30,2001-01-19,SS,NA,NA,55,M,Not first departure
2385,1,1999-09-24,2000-06-26,AF,PROJECT COORDINATOR,A REFACTURER,35,M,Not first departure
2385,2,2003-07-23,2004-09-28,CD,DEPUTY MEDCO,NA,35,M,Not first departure
2392,1,1999-02-18,1999-09-17,BI,PROJECT COORDINATOR,A REFACTURER,35,F,Not first departure
2392,2,2000-06-13,2000-07-26,ET,NURSE,NA,35,F,Not first departure
2392,3,2007-03-07,2007-09-12,NE,MEDCO,NA,45,F,Not first departure
2392,4,2008-05-13,2008-12-01,CF,MEDCO,NA,45,F,Not first departure
2392,5,2009-03-24,2009-04-29,PH,PROJECT COORDINATOR,NA,45,F,Not first departure
2392,6,2009-12-06,2010-03-01,SL,NON MEDICAL,NA,45,F,Not first departure
2392,7,2010-04-02,2010-10-04,HT,MEDCO,NA,45,F,Not first departure
2392,8,2011-04-04,2011-10-22,CD,MEDCO,NA,45,F,Not first departure
2392,9,2012-06-01,2013-06-15,MI,NON MEDICAL,NA,45,F,Not first departure
2392,10,2014-01-02,2015-02-28,MI,NON MEDICAL,NA,45,F,Not first departure
